brand,name,price,decimals,currency,price_without_vat,availability,description
XIAOMI,XIAOMI MI A2 LITE 3GB 32GB Negro – Smartphone,167,"0,15",€,"138,14€ (sin IVA)",,"El Xiaomi Mi A2 Lite ya ha llegado. Después del éxito conseguido por Xiaomi con el Mi A1, el fabricante chino acaba de presentar a uno de sus sucesores: el Xiaomi Mi A2 Lite."
XIAOMI,XIAOMI MI A2 LITE 3GB 32GB Azul – Smartphone,168,"0,54",€,"139,29€ (sin IVA)",,"El Xiaomi Mi A2 Lite ya ha llegado. Después del éxito conseguido por Xiaomi con el Mi A1, el fabricante chino acaba de presentar a uno de sus sucesores: el Xiaomi Mi A2 Lite"
XIAOMI,Xiaomi MI A1 5.5″ 4GB 32GB Negro – Smartphone,168,"0,98",€,"139,65€ (sin IVA)",,"Elegante aspecto de metal, la integración del cuerpo ultra-delgado (el espesor es sólo 7.3 mm) y la decisión de diseño clásico. Las dimensiones del dispositivo son 155,4 × 75,8 mm y el peso es muy pequeño – alrededor de 165g."
XIAOMI,Xiaomi MI A1 5.5″ 4GB 32GB Dorado – Smartphone,171,"0,41",€,"141,66€ (sin IVA)",,"Elegante aspecto de metal, la integración del cuerpo ultra-delgado (el espesor es sólo 7.3 mm) y la decisión de diseño clásico. Las dimensiones del dispositivo son 155,4 × 75,8 mm y el peso es muy pequeño – alrededor de 165  g."
BQ,BQ Aquaris V 5.2″ 2GB 16GB Blanco/Oro – Smartphone,179,0,€,"147,93€ (sin IVA)",Sólo queda 1 unidad,"El metal imprime carácter y marca tendencia, por eso es la seña de identidad de la gama V. El aluminio anodizado abraza el dispositivo realzando sus contornos, fusionándose con el lector de huellas y proporcionando una resistencia sin precedentes. Cada detalle está meticulosamente diseñado, como la forma del flash, el anillo que rodea y protege la cámara o la curvatura del metal. La vida se ve mejor desde una impresionante pantalla de 5,2”, con cristal 2,5D y 520 nits de brillo. El color inunda Instagram, tus series y tus vídeos, que no volverán a ser lo mismo. Con su funcionalidad de pantalla múltiple podrás tener dos aplicaciones abiertas a la vez y, gracias al cristal japonés ultrarresistente NEG Dinorex, los arañazos serán cosa del pasado. Sabemos que tu móvil se ha convertido en tu cámara, por eso es una de nuestras prioridades. En Aquaris V, su cámara trasera de 12 MP con Big Pixel y apertura f/2.0 captura fotos de gran calidad en cualquier situación y, gracias a su enfoque ultrarrápido con tecnología PDAF, lo difícil será sacar malas fotos. Sólo una buena cámara puede sacar un buen selfie. Por eso, la cámara delantera de 8 MP del Aquaris V incorpora Flash frontal para darte el toque de luz imprescindible. Y con el modo Face Beauty, que detecta los rostros y modifica su claridad y suavidad, conseguirás un efecto uniforme e impecable. Muestra al mundo tu mejor cara. Porque ni paras ni puedes esperar, necesitas un smartphone que siga tu ritmo 24/7. Con su batería de 3100 mAh tendrás más de 36 horas2 de uso y con su sistema de carga rápida Qualcomm® Quick Charge™ 3.0 podrás cargar hasta un 50% en poco más de media hora*.  Tú eres multitarea y tu móvil también debe serlo. Con el procesador Qualcomm® Snapdragon™ 435 y sus ocho núcleos podrás hacer todo lo que quieras al máximo rendimiento: juega, navega, descarga, escucha, corre…. O disfruta de todas las novedades que Android 8 Oreo traerá a tu Aquaris V. Don´t stop! El audio es una de las claves de la experiencia multimedia. Disfruta de un sonido rico, vibrante y lleno de matices en tu Aquaris V gracias a su altavoz con Smart PA. Y como incorpora el códec Bluetooth® aptX™, ofrece una experiencia sonora multidispositivo sin límites. Adiós cartera. Gracias a la tecnología NFC podrás salir sólo con tu Aquaris V y pagar directamente desde él de forma rápida y segura. J151"
BQ,BQ Aquaris V 5.2″ 2GB 16GB Negro – Smartphone,179,0,€,"147,93€ (sin IVA)",Sólo queda 1 unidad,"El metal imprime carácter y marca tendencia, por eso es la seña de identidad de la gama V. El aluminio anodizado abraza el dispositivo realzando sus contornos, fusionándose con el lector de huellas y proporcionando una resistencia sin precedentes. Cada detalle está meticulosamente diseñado, como la forma del flash, el anillo que rodea y protege la cámara o la curvatura del metal. La vida se ve mejor desde una impresionante pantalla de 5,2”, con cristal 2,5D y 520 nits de brillo. El color inunda Instagram, tus series y tus vídeos, que no volverán a ser lo mismo. Con su funcionalidad de pantalla múltiple podrás tener dos aplicaciones abiertas a la vez y, gracias al cristal japonés ultrarresistente NEG Dinorex, los arañazos serán cosa del pasado. Sabemos que tu móvil se ha convertido en tu cámara, por eso es una de nuestras prioridades. En Aquaris V, su cámara trasera de 12 MP con Big Pixel y apertura f/2.0 captura fotos de gran calidad en cualquier situación y, gracias a su enfoque ultrarrápido con tecnología PDAF, lo difícil será sacar malas fotos. Sólo una buena cámara puede sacar un buen selfie. Por eso, la cámara delantera de 8 MP del Aquaris V incorpora Flash frontal para darte el toque de luz imprescindible. Y con el modo Face Beauty, que detecta los rostros y modifica su claridad y suavidad, conseguirás un efecto uniforme e impecable. Muestra al mundo tu mejor cara. Porque ni paras ni puedes esperar, necesitas un smartphone que siga tu ritmo 24/7. Con su batería de 3100 mAh tendrás más de 36 horas2 de uso y con su sistema de carga rápida Qualcomm® Quick Charge™ 3.0 podrás cargar hasta un 50% en poco más de media hora*.  Tú eres multitarea y tu móvil también debe serlo. Con el procesador Qualcomm® Snapdragon™ 435 y sus ocho núcleos podrás hacer todo lo que quieras al máximo rendimiento: juega, navega, descarga, escucha, corre…. O disfruta de todas las novedades que Android 8 Oreo traerá a tu Aquaris V. Don´t stop! El audio es una de las claves de la experiencia multimedia. Disfruta de un sonido rico, vibrante y lleno de matices en tu Aquaris V gracias a su altavoz con Smart PA. Y como incorpora el códec Bluetooth® aptX™, ofrece una experiencia sonora multidispositivo sin límites. Adiós cartera. Gracias a la tecnología NFC podrás salir sólo con tu Aquaris V y pagar directamente desde él de forma rápida y segura. J151"
BQ,BQ Aquaris U2 5.2″ 2GB 16GB Negro – Smartphone,179,"0,9",€,"148,68€ (sin IVA)",,"La pantalla de tu móvil es la ventana a tu contenido favorito: redes, series, fotos…. La de Aquaris U2 Lite te sorprenderá con su acabado 2,5D, sus bordes reducidos a la mínima expresión y sus 5,2” en las que los píxeles lucen como nunca. Y todo, en una pantalla todoterreno gracias a su cristal protector de altísima resistencia. Pocos smartphones pueden presumir de una autonomía como la del Aquaris U2 Lite. Gracias a su batería LiPo de 3100 mAh y a una meticulosa selección de componentes de bajo consumo, sacarás todo el partido a tu Aquaris U2 Lite sin tener que cargarlo constantemente. Y con su carga rápida Qualcomm® Quick Charge™ 3.0, pasará de 0 a 100% de almacenamiento energético en un abrir y cerrar de ojos. Haz que tus selfies brillen con luz propia gracias al flash frontal integrado, que da el toque de iluminación que necesitas para salir bien incluso de noche. El modo Face Beauty hará el resto: detecta las caras y suaviza los rasgos para que desaparezcan las pequeñas imperfecciones. Y con su cámara trasera con 8 MP y enfoque ultrarrápido, captarás tus momentos más especiales de forma ágil y nítida. Con el procesador Qualcomm® Snapdragon™ 425 y sus cuatro núcleos a 1,4 GHz, exprime tu contenido multimedia, chatea, navega por tus redes a toda velocidad o disfruta de todas las novedades que Android 8 Oreo traerá a tu Aquaris U2 Lite. Aquaris U2 Lite incorpora la última tecnología en conectividad. Con LTE Global, Wi-Fi® dual (2,4 GHz y 5 GHz) para conexiones más rápidas, Bluetooth 4.2, 4G y Micro USB OTG, no echarás nada de menos. Percibe toda la riqueza y los matices del sonido gracias al amplificador inteligente integrado en el altavoz y al códec Bluetooth® aptX™ , que te permite exprimir al máximo la calidad del sonido en tus auriculares o altavoces inalámbricos"
XIAOMI,XIAOMI REDMI NOTE 4 32GB 3GB Dorado – Smartphone,185,"0,32",€,"153,15€ (sin IVA)",Sólo queda 1 unidad,MOVIL XIAOMI REDMI NOTE 4 3GB 32GB DORADO OCTACORE   3GB   32GB   5.5
XIAOMI,Xiaomi MI A2 LITE 4GB 64GB Dorado – Smartphone,187,"0,32",€,"154,81€ (sin IVA)",Sólo queda 1 unidad,"El Xiaomi Mi A2 Lite ya ha llegado. Después del éxito conseguido por Xiaomi con el Mi A1, el fabricante chino acaba de presentar a uno de sus sucesores: el Xiaomi Mi A2 Lite. Esta version con 4GB de Ram y 64GB de almacenamiento en color Dorado!"
XIAOMI,XIAOMI MI A1 5.5″ 64GB 4GB Rosa – Smartphone,188,"0,74",€,"155,98€ (sin IVA)",,MOVIL XIAOMI MI A1 4GB 64GB ROSA MOVIL XIAOMI MI A1 4GB 64GB ROSA OCTACORE  4GB  64GB  5.5
